Rank,Channel_Name,Subscriber_Count,Video_Views,Video_Count,Genre,Channel_Started,Channel_Age,Avg_Views_Per_Video,Upload_Consistency,Health_Score
1,T-Series,0.9999999999999999,1.0,18831,Music,2006,20,0.011709015728947607,0.05021310175513503,65.99
2,Cocomelon - Nursery Rhymes,0.6442043895747599,0.6886683079042278,861,Education,2006,20,0.18103909529695283,0.002259488555787676,46.86
3,SET India,0.6356310013717421,0.6277202464907589,105649,Film & Animation,2006,20,0.001321177597908031,0.2818901630095,45.33
4,Sony SAB,0.31627229080932784,0.3976667713623958,65028,Film & Animation,2007,19,0.0014263496012096133,0.18262465278920323,25.77
5,✿ Kids Diana Show,0.4470164609053498,0.37572883046818684,1070,People & Blogs,2015,11,0.08440041857867914,0.005153395834863988,28.68
6,Like Nastya,0.4298696844993141,0.37381627978354565,762,People & Blogs,2016,10,0.11800280870767317,0.0040287287088854665,28.68
7,WWE,0.3848593964334705,0.30744886281901196,66901,Sports,2007,19,0.001102965143805366,0.18788588452176203,25.53
8,Vlad and Niki,0.38657407407407407,0.30201619438965366,530,Entertainment,2018,8,0.14129094944606047,0.0034976898092377137,25.47
9,Movieclips,0.2356824417009602,0.23175774840228444,40063,Film & Animation,2006,20,0.001468573514433412,0.10687148324921089,16.83
10,Colors TV,0.24211248285322362,0.22753548246559915,104523,Film & Animation,2008,18,0.0005336850271701397,0.30987689148457076,19.96
11,Zee Music Company,0.38185871056241427,0.20919449117958336,7768,Music,2014,12,0.007105437974680757,0.03451053945114544,20.3
12,El Reino Infantil,0.2223936899862826,0.20849625438671762,1434,Music,2011,15,0.038536857141605894,0.005064121136339377,14.89
13,Ryan's World,0.13151577503429354,0.2077957653650637,2321,Entertainment,2015,11,0.023733418344594578,0.011223104957379649,11.48
14,netd müzik,0.08521947873799726,0.20710863964393547,22108,Music,2014,12,0.0024550227118567275,0.098288578152559,10.72
15,ABS-CBN Entertainment,0.16666666666666666,0.1841791538580555,187424,People & Blogs,2008,18,0.00023428423067728567,0.5556817816001397,19.7
16,Toys and Colors,0.149519890260631,0.16213260847323138,910,Entertainment,2016,10,0.05007312136404103,0.004818615715396698,11.17
17,ChuChu TV Nursery Rhymes & Kids Songs,0.24939986282578874,0.15212405423209788,546,Education,2013,13,0.07963744759945711,0.0022034492749203253,14.92
18,Zee TV,0.2665466392318244,0.14956519367250967,98369,Entertainment,2005,21,0.00040312522437228833,0.24996314877221876,17.57
19,Super Simple Songs - Kids Songs,0.14609053497942387,0.1478651354134404,667,Education,2006,20,0.0638467084316881,0.0017417923420607207,10.85
20,Wave Music,0.22539437585733882,0.1358857482379144,19031,Music,2014,12,0.002073371628330555,0.08460342995979404,13.28
21,Little Baby Bum - Nursery Rhymes & Kids Songs,0.15895061728395063,0.1338443009322587,2287,Education,2011,15,0.017312620553121234,0.00809913742712352,10.05
22,Canal KondZilla,0.2686899862825789,0.12632401264952856,2393,Music,2012,14,0.01588589057324929,0.009084463014074626,13.65
23,Pinkfong Baby Shark - Kids' Songs & Stories,0.2656893004115226,0.12335534728520617,2647,Education,2011,15,0.014123336322046187,0.00938003527552011,13.42
24,WorkpointOfficial,0.14823388203017832,0.11641602796859493,68255,Entertainment,2012,14,0.0004940816240903819,0.2601633144756706,12.59
25,Маша и Медведь,0.16237997256515777,0.11532396325151326,1316,Film & Animation,2011,15,0.02716315785184387,0.004644271286031606,9.76
26,HAR PAL GEO,0.14694787379972565,0.10968497191405555,84696,Entertainment,2008,18,0.0003749918943617333,0.2510890173175356,12.21
27,ARY Digital HD,0.1546639231824417,0.10874869713613777,92357,Entertainment,2016,10,0.00033897201176420446,0.4928780554750759,16.08
28,YRF,0.20781893004115226,0.10537884895425231,3528,Film & Animation,2006,20,0.0095206492169609,0.00937647722594123,10.77
29,Tips Official,0.22839506172839505,0.09753438465459541,4182,Music,2007,19,0.007633542425920437,0.011709059623547654,11.25
30,LooLoo Kids - Nursery Rhymes and Children's Songs,0.21081961591220852,0.09689567038040436,621,Music,2014,12,0.05138400321657929,0.00272381402583144,11.35
31,LankyBox,0.08393347050754459,0.09637734177915327,7307,Comedy,2016,10,0.004321328727040019,0.038959880449534155,6.5
32,Shemaroo Filmi Gaane,0.2584019204389575,0.09224812767798168,8535,Music,2010,16,0.0035933905096128395,0.028431834123728635,12.31
33,Justin Bieber,0.2884087791495199,0.0897802696475444,249,Music,2007,19,0.12221422326367248,0.0006613156811270618,15.24
34,Get Movies,0.17609739368998628,0.08871137176678098,3193,Entertainment,2006,20,0.009429493040365798,0.008482517269247777,9.14
35,Ed Sheeran,0.2112482853223594,0.08711765914375899,264,Music,2006,20,0.11315543183501783,0.0006663718568444167,12.28
36,BLACKPINK,0.34585048010973934,0.08673772981871056,475,People & Blogs,2016,10,0.06270808916947326,0.0024969883651778774,16.0
38,PewDiePie,0.45987654320987653,0.08547914392975858,4700,Gaming,2010,16,0.006251178319101601,0.015639533997163727,19.02
39,Bad Bunny,0.17824074074074076,0.0843939731438523,128,Music,2014,12,0.22896102616512654,0.0005311659728469988,13.36
40,GMANetwork,0.11308299039780523,0.08216332017604264,128766,Entertainment,2006,20,0.00019036137053127954,0.3435787370957166,11.58
41,Infobells - Hindi,0.19495884773662553,0.08144694580616457,526,Education,2014,12,0.054517557165325053,0.0023012956383395094,10.39
42,Taylor Swift,0.20267489711934156,0.08139090751150899,206,Music,2006,20,0.13920029491876965,0.000511596700163162,12.33
43,Sony Music India,0.22367969821673525,0.07903763225813923,3457,Music,2009,17,0.00812059358839492,0.010814975740978774,10.52
44,T-Series Bhakti Sagar,0.23311042524005487,0.07863989965811019,25114,Music,2011,15,0.0010854896125177401,0.089318735164204,11.88
45,DisneyMusicVEVO,0.11994170096021947,0.07623037082831327,1942,Music,2010,16,0.014179069500072803,0.006439752054773632,6.87
46,قناة طيور الجنة | toyoraljanahtv,0.11051097393689988,0.07590265751774866,3191,Entertainment,2008,18,0.008594509555432062,0.00942332487872981,6.46
47,Ch3Thailand,0.12422839506172839,0.07527768530075751,86169,Entertainment,2014,12,0.0002843553081391763,0.38320384574330196,12.36
48,HYBE LABELS,0.2811213991769547,0.07360962019174172,1108,Music,2008,18,0.02438156750177562,0.003247143818058288,12.58
49,SMTOWN,0.11908436213991769,0.07356240705533215,4086,Music,2006,20,0.006584606034393336,0.010865520974702269,6.67
50,Sony PAL,0.13794581618655694,0.0732519693463598,22211,Film & Animation,2014,12,0.0011809421199285419,0.09874667703583974,8.53
51,ช่อง one31,0.14008916323731138,0.07261134471215996,106483,Entertainment,2013,13,0.000218444505137825,0.437121639549246,13.64
52,Tsuriki Show,0.0625,0.07221221575465966,2299,Entertainment,2019,7,0.011605898371115107,0.017490355144177256,4.85
53,SonyMusicIndiaVEVO,0.17781207133058985,0.07170211835609205,3369,Music,2009,17,0.007877441605576421,0.01053870365603049,8.69
54,JustinBieberVEVO,0.11994170096021947,0.07164546906606525,204,Music,2009,17,0.13055740053276182,0.0006023269644245872,8.97
55,Speed Records,0.1640946502057613,0.07129340995456626,10682,Music,2012,14,0.002453422126543081,0.04068375547050123,8.54
56,Shakira,0.15895061728395063,0.07089608226817093,308,People & Blogs,2005,21,0.0859520075934803,0.0007446489475797639,9.42
57,EminemMusic,0.2215363511659808,0.0698461742083783,140,Music,2007,19,0.1875637138543364,0.00035513615157612235,13.61
