Rank,Channel_Name,Subscriber_Count,Video_Views,Video_Count,Genre,Channel_Started,Channel_Age,Avg_Views_Per_Video,Upload_Consistency,Health_Score,Creator_Segment,Growth_Score
1,T-Series,1.0,1.0,18831,Music,2006,20,0.0117090157289476,0.050213101755135,65.99,Emerging Creator,71.71
2,Cocomelon - Nursery Rhymes,0.6442043895747599,0.6886683079042278,861,Education,2006,20,0.1810390952969528,0.0022594885557876,46.86,Emerging Creator,47.1
3,SET India,0.6356310013717421,0.6277202464907589,105649,Film & Animation,2006,20,0.001321177597908,0.2818901630095,45.33,Emerging Creator,50.99
4,Sony SAB,0.3162722908093278,0.3976667713623958,65028,Film & Animation,2007,19,0.0014263496012096,0.1826246527892032,25.77,Elite Creator,29.59
5,✿ Kids Diana Show,0.4470164609053498,0.3757288304681868,1070,People & Blogs,2015,11,0.0844004185786791,0.0051533958348639,28.68,Elite Creator,35.46
6,Like Nastya,0.4298696844993141,0.3738162797835456,762,People & Blogs,2016,10,0.1180028087076731,0.0040287287088854,28.68,Elite Creator,35.33
7,WWE,0.3848593964334705,0.3074488628190119,66901,Sports,2007,19,0.0011029651438053,0.187885884521762,25.53,Elite Creator,29.74
8,Vlad and Niki,0.386574074074074,0.3020161943896536,530,Entertainment,2018,8,0.1412909494460604,0.0034976898092377,25.47,Elite Creator,32.68
9,Movieclips,0.2356824417009602,0.2317577484022844,40063,Film & Animation,2006,20,0.0014685735144334,0.1068714832492108,16.83,Elite Creator,19.32
10,Colors TV,0.2421124828532236,0.2275354824655991,104523,Film & Animation,2008,18,0.0005336850271701,0.3098768914845707,19.96,Elite Creator,24.43
11,Zee Music Company,0.3818587105624142,0.2091944911795833,7768,Music,2014,12,0.0071054379746807,0.0345105394511454,20.3,Elite Creator,27.62
12,El Reino Infantil,0.2223936899862826,0.2084962543867176,1434,Music,2011,15,0.0385368571416058,0.0050641211363393,14.89,Elite Creator,18.98
13,Ryan's World,0.1315157750342935,0.2077957653650637,2321,Entertainment,2015,11,0.0237334183445945,0.0112231049573796,11.48,Stable Creator,17.88
14,netd müzik,0.0852194787379972,0.2071086396439354,22108,Music,2014,12,0.0024550227118567,0.098288578152559,10.72,Stable Creator,16.53
15,ABS-CBN Entertainment,0.1666666666666666,0.1841791538580555,187424,People & Blogs,2008,18,0.0002342842306772,0.5556817816001397,19.7,Elite Creator,24.91
16,Toys and Colors,0.149519890260631,0.1621326084732313,910,Entertainment,2016,10,0.050073121364041,0.0048186157153966,11.17,Stable Creator,17.77
17,ChuChu TV Nursery Rhymes & Kids Songs,0.2493998628257887,0.1521240542320978,546,Education,2013,13,0.0796374475994571,0.0022034492749203,14.92,Elite Creator,19.57
18,Zee TV,0.2665466392318244,0.1495651936725096,98369,Entertainment,2005,21,0.0004031252243722,0.2499631487722187,17.57,Elite Creator,20.84
19,Super Simple Songs - Kids Songs,0.1460905349794238,0.1478651354134404,667,Education,2006,20,0.0638467084316881,0.0017417923420607,10.85,Growing Creator,10.94
20,Wave Music,0.2253943758573388,0.1358857482379144,19031,Music,2014,12,0.0020733716283305,0.084603429959794,13.28,Elite Creator,19.82
21,Little Baby Bum - Nursery Rhymes & Kids Songs,0.1589506172839506,0.1338443009322587,2287,Education,2011,15,0.0173126205531212,0.0080991374271235,10.05,Growing Creator,14.25
22,Canal KondZilla,0.2686899862825789,0.1263240126495285,2393,Music,2012,14,0.0158858905732492,0.0090844630140746,13.65,Elite Creator,19.05
23,Pinkfong Baby Shark - Kids' Songs & Stories,0.2656893004115226,0.1233553472852061,2647,Education,2011,15,0.0141233363220461,0.0093800352755201,13.42,Elite Creator,18.23
24,WorkpointOfficial,0.1482338820301783,0.1164160279685949,68255,Entertainment,2012,14,0.0004940816240903,0.2601633144756706,12.59,Elite Creator,17.74
25,Маша и Медведь,0.1623799725651577,0.1153239632515132,1316,Film & Animation,2011,15,0.0271631578518438,0.0046442712860316,9.76,Growing Creator,13.78
26,HAR PAL GEO,0.1469478737997256,0.1096849719140555,84696,Entertainment,2008,18,0.0003749918943617,0.2510890173175356,12.21,Elite Creator,15.94
27,ARY Digital HD,0.1546639231824417,0.1087486971361377,92357,Entertainment,2016,10,0.0003389720117642,0.4928780554750759,16.08,Elite Creator,21.67
28,YRF,0.2078189300411522,0.1053788489542523,3528,Film & Animation,2006,20,0.0095206492169609,0.0093764772259412,10.77,Growing Creator,12.3
29,Tips Official,0.228395061728395,0.0975343846545954,4182,Music,2007,19,0.0076335424259204,0.0117090596235476,11.25,Growing Creator,13.55
30,LooLoo Kids - Nursery Rhymes and Children's Songs,0.2108196159122085,0.0968956703804043,621,Music,2014,12,0.0513840032165792,0.0027238140258314,11.35,Elite Creator,17.0
31,LankyBox,0.0839334705075445,0.0963773417791532,7307,Comedy,2016,10,0.00432132872704,0.0389598804495341,6.5,Stable Creator,13.55
32,Shemaroo Filmi Gaane,0.2584019204389575,0.0922481276779816,8535,Music,2010,16,0.0035933905096128,0.0284318341237286,12.31,Elite Creator,16.72
33,Justin Bieber,0.2884087791495199,0.0897802696475444,249,Music,2007,19,0.1222142232636724,0.000661315681127,15.24,Elite Creator,15.49
34,Get Movies,0.1760973936899862,0.0887113717667809,3193,Entertainment,2006,20,0.0094294930403657,0.0084825172692477,9.14,Growing Creator,10.51
35,Ed Sheeran,0.2112482853223594,0.0871176591437589,264,Music,2006,20,0.1131554318350178,0.0006663718568444,12.28,Elite Creator,11.7
36,BLACKPINK,0.3458504801097393,0.0867377298187105,475,People & Blogs,2016,10,0.0627080891694732,0.0024969883651778,16.0,Elite Creator,23.34
38,PewDiePie,0.4598765432098765,0.0854791439297585,4700,Gaming,2010,16,0.0062511783191016,0.0156395339971637,19.02,Elite Creator,24.36
39,Bad Bunny,0.1782407407407407,0.0843939731438523,128,Music,2014,12,0.2289610261651265,0.0005311659728469,13.36,Elite Creator,15.29
40,GMANetwork,0.1130829903978052,0.0821633201760426,128766,Entertainment,2006,20,0.0001903613705312,0.3435787370957166,11.58,Growing Creator,15.06
41,Infobells - Hindi,0.1949588477366255,0.0814469458061645,526,Education,2014,12,0.054517557165325,0.0023012956383395,10.39,Stable Creator,15.9
42,Taylor Swift,0.2026748971193415,0.0813909075115089,206,Music,2006,20,0.1392002949187696,0.0005115967001631,12.33,Elite Creator,11.18
43,Sony Music India,0.2236796982167352,0.0790376322581392,3457,Music,2009,17,0.0081205935883949,0.0108149757409787,10.52,Growing Creator,14.02
44,T-Series Bhakti Sagar,0.2331104252400548,0.0786398996581101,25114,Music,2011,15,0.0010854896125177,0.089318735164204,11.88,Elite Creator,16.89
45,DisneyMusicVEVO,0.1199417009602194,0.0762303708283132,1942,Music,2010,16,0.0141790695000728,0.0064397520547736,6.87,Growing Creator,10.32
46,قناة طيور الجنة | toyoraljanahtv,0.1105109739368998,0.0759026575177486,3191,Entertainment,2008,18,0.008594509555432,0.0094233248787298,6.46,Growing Creator,8.76
47,Ch3Thailand,0.1242283950617283,0.0752776853007575,86169,Entertainment,2014,12,0.0002843553081391,0.3832038457433019,12.36,Elite Creator,17.84
48,HYBE LABELS,0.2811213991769547,0.0736096201917417,1108,Music,2008,18,0.0243815675017756,0.0032471438180582,12.58,Elite Creator,15.39
49,SMTOWN,0.1190843621399176,0.0735624070553321,4086,Music,2006,20,0.0065846060343933,0.0108655209747022,6.67,Growing Creator,7.83
50,Sony PAL,0.1379458161865569,0.0732519693463598,22211,Film & Animation,2014,12,0.0011809421199285,0.0987466770358397,8.53,Stable Creator,14.62
51,ช่อง one31,0.1400891632373113,0.0726113447121599,106483,Entertainment,2013,13,0.0002184445051378,0.437121639549246,13.64,Elite Creator,18.94
52,Tsuriki Show,0.0625,0.0722122157546596,2299,Entertainment,2019,7,0.0116058983711151,0.0174903551441772,4.85,Stable Creator,13.55
53,SonyMusicIndiaVEVO,0.1778120713305898,0.071702118356092,3369,Music,2009,17,0.0078774416055764,0.0105387036560304,8.69,Growing Creator,11.96
54,JustinBieberVEVO,0.1199417009602194,0.0716454690660652,204,Music,2009,17,0.1305574005327618,0.0006023269644245,8.97,Growing Creator,9.46
55,Speed Records,0.1640946502057613,0.0712934099545662,10682,Music,2012,14,0.002453422126543,0.0406837554705012,8.54,Stable Creator,13.69
56,Shakira,0.1589506172839506,0.0708960822681709,308,People & Blogs,2005,21,0.0859520075934803,0.0007446489475797,9.42,Growing Creator,8.5
57,EminemMusic,0.2215363511659808,0.0698461742083783,140,Music,2007,19,0.1875637138543364,0.0003551361515761,13.61,Elite Creator,12.21
58,BabyBus - Kids Songs and Cartoons,0.1199417009602194,0.0695457466678654,1999,Education,2016,10,0.0130732574377614,0.0106306897024962,6.71,Stable Creator,13.87
59,5-Minute Crafts,0.3222736625514403,0.0675938214659578,6022,Howto & Style,2016,10,0.0042492829747407,0.032101739886244,13.87,Elite Creator,22.14
60,La Granja de Zenón,0.12980109739369,0.0675550567739469,613,Music,2013,13,0.0420277817391236,0.0024785138769798,7.45,Stable Creator,12.25
61,GMM GRAMMY OFFICIAL,0.0813614540466392,0.0664045473463116,14685,Music,2010,16,0.0017057266217703,0.0489462137269552,5.61,Growing Creator,9.22
62,Vijay Television,0.0655006858710562,0.0663183474787019,40319,Entertainment,2007,19,0.0005994235994061,0.1132174051224678,5.99,Growing Creator,8.19
63,Galinha Pintadinha,0.1237997256515775,0.0662324430604101,65,Film & Animation,2006,20,0.3923751589072728,0.0001353329571966,14.17,Elite Creator,7.57
64,GR6 EXPLODE,0.1490912208504801,0.0661034146453732,4156,Music,2014,12,0.0060971427975864,0.0184459456025048,7.6,Stable Creator,13.81
65,Katy Perry,0.1722393689986282,0.0656234518632211,120,Music,2008,18,0.2114579546358058,0.0003176829981142,12.23,Elite Creator,10.74
66,Aditya Music,0.1023662551440329,0.0642913384392871,21020,Music,2008,18,0.001160455170851,0.0622870464969307,6.47,Growing Creator,9.11
67,TaylorSwiftVEVO,0.0942215363511659,0.0642215383612325,262,Music,2009,17,0.0957117704793049,0.0007844153840495,7.15,Growing Creator,8.21
68,shakiraVEVO,0.0629286694101508,0.0618984855365798,194,Music,2009,17,0.1267634232599179,0.0005709324093168,6.6,Growing Creator,6.88
69,FGTeeV,0.0770747599451303,0.0588513728032815,1674,Gaming,2013,13,0.0142795459444915,0.0068343876498926,4.85,Stable Creator,9.94
70,1theK (원더케이),0.0886488340192044,0.0586229290837195,17842,Music,2011,15,0.0013065900473299,0.0634445986265928,5.84,Growing Creator,10.09
71,KatyPerryVEVO,0.089934842249657,0.058169628931423,173,Music,2009,17,0.1376395066921491,0.0005050038435905,7.65,Growing Creator,7.85
72,Ariana Grande,0.2082475994513031,0.0577984800272001,146,Music,2007,19,0.1625670495710363,0.0003719900706339,12.28,Elite Creator,11.32
73,Aaj Tak,0.2228223593964334,0.0573882582761433,242010,News & Politics,2009,17,6.409686035384708e-05,0.7597415062031156,20.92,Elite Creator,27.13
74,Maria Clara & JP,0.1383744855967078,0.0565430805337145,699,People & Blogs,2015,11,0.0335524830274368,0.0033533462070036,7.26,Stable Creator,13.52
75,Genevieve's Playhouse - Learning Videos for Kids,0.121656378600823,0.0561468480609099,595,Education,2016,10,0.0392834886843332,0.0031374372893761,6.78,Stable Creator,13.46
76,MrBeast,0.5627572016460906,0.0557640412021632,735,Entertainment,2012,14,0.0316854011784195,0.0027638420835938,22.04,Elite Creator,28.6
77,Shemaroo,0.1760973936899862,0.0555077387361848,10873,Entertainment,2007,19,0.0021055839309328,0.0305039883595599,8.33,Growing Creator,10.59
78,shfa2 - شفا,0.1478052126200274,0.0551967784145741,1497,People & Blogs,2017,9,0.0154604516640333,0.0088392117395304,7.27,Stable Creator,15.15
79,TheEllenShow,0.1482338820301783,0.0545790790268215,15189,Entertainment,2006,20,0.0014849079082218,0.0404942893304259,7.46,Growing Creator,9.07
80,SSSniperWolf,0.1268004115226337,0.0545262772378335,3224,Gaming,2013,13,0.0071171619303742,0.0131978224736577,6.41,Stable Creator,11.89
81,Ozuna,0.1379458161865569,0.0541578724985061,164,Music,2016,10,0.1400700943131773,0.0008371582366306,9.27,Stable Creator,14.03
82,J Balvin,0.1293724279835391,0.0537595303462484,134,Music,2011,15,0.1708138367885111,0.0004386566837961,9.56,Growing Creator,10.54
83,Masha and The Bear,0.1520919067215363,0.0535726967668502,1063,Film & Animation,2014,12,0.0214662842253808,0.0046896364181623,7.43,Stable Creator,13.38
84,CookieSwirlC,0.0667866941015089,0.0535066788583791,3683,Entertainment,2013,13,0.006167984768219,0.0150822202698565,4.29,Stable Creator,9.49
85,Peppa Pig - Official Channel,0.1139403292181069,0.0521222944147763,2645,Film & Animation,2013,13,0.0084920933532442,0.0108207716588448,5.88,Stable Creator,11.27
86,Goldmines,0.3385631001371742,0.0520613399573646,5350,Film & Animation,2012,14,0.0041790310079612,0.0203571265191601,13.8,Elite Creator,19.79
87,Daddy Yankee,0.145233196159122,0.0512259785829962,476,Music,2011,15,0.0469470226151418,0.0016555096397728,7.58,Growing Creator,11.12
88,Sesame Street,0.0830761316872428,0.0509975358921608,3564,Entertainment,2006,20,0.0062275642468238,0.0094725445645709,4.7,Growing Creator,5.68
89,Maroon 5,0.1400891632373113,0.0508970149843932,163,Music,2006,20,0.1367386290399748,0.0003968496012443,9.17,Growing Creator,7.76
90,Nick Jr.,0.098079561042524,0.0503886340918051,5145,Film & Animation,2012,14,0.0042787734431374,0.019575626343799,5.32,Stable Creator,10.11
91,Little Angel: Nursery Rhymes & Kids Songs,0.1109396433470507,0.0502742365245377,1232,Education,2015,11,0.0179561400138563,0.0059394013327437,5.84,Stable Creator,12.27
92,etvteluguindia,0.0642146776406035,0.0501098522958145,120122,Entertainment,2010,16,0.00015057890545,0.4006494075847451,9.76,Growing Creator,14.15
93,LUCCAS NETO - LUCCAS TOON,0.1503772290809328,0.049886026812946,2067,People & Blogs,2014,12,0.0106495140754373,0.0091549886396559,7.11,Stable Creator,13.26
94,LeoNata Family,0.0534979423868312,0.0496066755265602,1871,People & Blogs,2021,5,0.0117373686680522,0.0199332103264764,3.89,Stable Creator,13.74
